=== jgld.dll — Strings ===
 nth      paddr      vaddr len size section type    string                                                                                                                                                                                                                      
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   0 0x0000004d 0x1000004d  44   45         ascii   !This program cannot be run in DOS mode.\r\r\n$
 175 0x000083c5 0x100083c5   5    5 .text   ascii   XSVWQ
 176 0x00008595 0x10008595   4    4 .text   ascii   @SVW
 177 0x000085f5 0x100085f5   4    4 .text   ascii   @SVW
 178 0x00008645 0x10008645   5    5 .text   ascii   DSVWQ
 179 0x000086b5 0x100086b5   5    5 .text   ascii   DSVWQ
 180 0x00008735 0x10008735   5    5 .text   ascii   DSVWQ
 181 0x000087b5 0x100087b5   5    5 .text   ascii   DSVWQ
 182 0x00008835 0x10008835   5    5 .text   ascii   LSVWQ
 183 0x00008864 0x10008864   4    5 .text   ascii   9E\b}
 184 0x00008880 0x10008880   6    6 .text   ascii   9E\f|\a3
 185 0x000089d9 0x100089d9   4    4 .text   ascii   SVWQ
 186 0x00008a18 0x10008a18   5    5 .text   ascii   9Axtr
 187 0x00008a31 0x10008a31   7    8 .text   ibm037  &»(8Yfi
 188 0x00008ae5 0x10008ae5   5    5 .text   ascii   LSVWQ
 189 0x00008b95 0x10008b95   5    5 .text   ascii   HSVWQ
 190 0x00008c45 0x10008c45   5    5 .text   ascii   HSVWQ
 191 0x00008d05 0x10008d05   5    5 .text   ascii   HSVWQ
 192 0x00008da5 0x10008da5   5    5 .text   ascii   HSVWQ
 193 0x00008e55 0x10008e55   5    5 .text   ascii   LSVWQ
 194 0x00008f75 0x10008f75   5    5 .text   ascii   PSVWQ
 195 0x00009125 0x10009125   4    4 .text   ascii   @SVW
 196 0x00009165 0x10009165   4    4 .text   ascii   @SVW
 197 0x0000917f 0x1000917f   4    5 .text   ascii   @\f+A
 198 0x000091a5 0x100091a5   5    5 .text   ascii   LSVWQ
 199 0x000092e5 0x100092e5   5    5 .text   ascii   DSVWQ
 200 0x00009325 0x10009325   5    5 .text   ascii   HSVWQ
