=== Terrain.dll — Strings ===
 nth      paddr      vaddr len size section type    string                                                                                                                                                                                                                      
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 262 0x00013ea6 0x10013ea6  17   18 .text   ascii   \t\t\t\t\t\t\a\t\a\t\t\t\t\t\t\t\b
 263 0x00013eb8 0x10013eb8   9    9 .text   ascii   \t\t\t\t\t\t\t\t\a
 264 0x00013f05 0x10013f05   5    5 .text   ascii   HSVWQ
 265 0x00013fc5 0x10013fc5   4    4 .text   ascii   @SVW
 266 0x00013ff5 0x10013ff5   4    4 .text   ascii   @SVW
 267 0x00014025 0x10014025   5    5 .text   ascii   HSVWQ
 268 0x0001405a 0x1001405a   5    5 .text   ascii   x$\au\b
 269 0x00014199 0x10014199   4    4 .text   ascii   SVWQ
 270 0x000149e9 0x100149e9   4    4 .text   ascii   SVWQ
 271 0x00014ab2 0x10014ab2   4    5 .text   ibm037  YTFÚ
 272 0x00014bab 0x10014bab   7    8 .text   ibm037  »¢ YXEÚ
 273 0x00014cbd 0x10014cbd   4    5 .text   ibm037  YYCÚ
 274 0x00014ebd 0x10014ebd   4    5 .text   ibm037  YQBÚ
 275 0x00015235 0x10015235   5    5 .text   ascii   LSVWQ
 276 0x00015287 0x10015287   4    5 .text   ascii   ;BD}
 277 0x000152c4 0x100152c4   5    5 .text   ascii   ;QD}.
 278 0x00015345 0x10015345   5    5 .text   ascii   DSVWQ
 279 0x00015361 0x10015361   5    5 .text   ascii   @(_^[
 280 0x00015385 0x10015385   5    5 .text   ascii   DSVWQ
 281 0x000153a4 0x100153a4   5    5 .text   ascii   H(_^[
 282 0x000153c5 0x100153c5   5    5 .text   ascii   DSVWQ
 283 0x000153e2 0x100153e2   4    4 .text   ascii   D_^[
 284 0x00015405 0x10015405   5    5 .text   ascii   DSVWQ
 285 0x00015465 0x10015465   5    5 .text   ascii   DSVWQ
 286 0x000154a5 0x100154a5   5    5 .text   ascii   HSVWQ
 287 0x000154be 0x100154be   4    5 .text   ascii   }\b\tt
 288 0x00015505 0x10015505   5    5 .text   ascii   XSVWQ
 289 0x0001554c 0x1001554c   4    5 .text   ascii   J\f;H
 290 0x000155b5 0x100155b5   5    5 .text   ascii   HSVWQ
 291 0x000155da 0x100155da   5    5 .text   ascii   y$\at6
 292 0x000155f5 0x100155f5   5    5 .text   ascii   y$\tt\e
 293 0x000155fe 0x100155fe   4    5 .text   ascii   z$\bt
 294 0x00015655 0x10015655   5    5 .text   ascii   DSVWQ
 295 0x00015697 0x10015697   5    5 .text   ascii   9B$t\n
 296 0x000156b4 0x100156b4   5    5 .text   ascii   9A(t0
 297 0x00015721 0x10015721   5    5 .text   ascii   ;B$t\a
 298 0x00015980 0x10015980   5    5 .text   ascii   SVWj\t
 299 0x00015a92 0x10015a92   4    5 .text   ascii   U\bRj
 300 0x00015ab9 0x10015ab9   4    8 .text   utf16le jjjj
 301 0x00015ae1 0x10015ae1   4    8 .text   utf16le jjjj
 302 0x00015b38 0x10015b38   4    4 .text   ascii   M\bQh
 303 0x00015b88 0x10015b88   4    4 .text   ascii   t&hT
 304 0x00015c55 0x10015c55   4    5 .text   ascii   ;\r|\a
 305 0x00015d0c 0x10015d0c   4    4 .text   ascii   U\bR3
 306 0x00015d2b 0x10015d2b   4    4 .text   ascii    _^[
 307 0x00015e20 0x10015e20   5    5 .text   ascii   SVWj\t
 308 0x00015f4c 0x10015f4c   4    5 .text   ascii   E\bPj
 309 0x00015f71 0x10015f71   4    8 .text   utf16le jjjj
 310 0x00015f99 0x10015f99   4    8 .text   utf16le jjjj
 311 0x00015fc3 0x10015fc3   5    5 .text   ascii   U\fRhP
 312 0x0001600e 0x1001600e   4    4 .text   ascii   t&hT
 313 0x00016044 0x10016044   4    4 .text   ascii   u!h,
 314 0x000161f4 0x100161f4   4    5 .text   ascii   E\f;B
 315 0x000161ff 0x100161ff   4    5 .text   ascii   U\f+Q
 316 0x00016274 0x10016274   4    4 .text   ascii   t!ht
 317 0x000162d3 0x100162d3   4    4 .text   ascii   t!hX
 318 0x00016327 0x10016327   4    4 .text   ascii   t!h<
 319 0x00016400 0x10016400   5    5 .text   ascii   SVWj\t
 320 0x000164cf 0x100164cf   6    6 .text   ascii   \bSVWj\t
 321 0x00016523 0x10016523   4    4 .text   ascii   QSVW
 322 0x0001656e 0x1001656e  19   38 .text   utf16le jjj喋刌j䖋倈ͪᗿ䀀ဆ쒃蔜痀栫奈စ걨 blocks=Basic Latin,CJK Unified Ideographs,CJK Unified Ideographs Extension A,Combining Diacritical Marks,Unified Canadian Aboriginal Syllabics,Myanmar,Hangul Syllables,CJK Compatibility Ideographs
 323 0x00016597 0x10016597   4    8 .text   utf16le jjjj
 324 0x000165c6 0x100165c6   4    4 .text   ascii   u!h,
 325 0x00016742 0x10016742   4    4 .text   ascii   t!hL
 326 0x000167b7 0x100167b7   7    7 .text   ascii   ;E\ft!h,
 327 0x00016904 0x10016904   4    4 .text   ascii   \f_^[
 328 0x000169ae 0x100169ae   4    4 .text   ascii   u!h,
